Tag,Element,Segments, X1, Y1, Z1, X2, Y2, Z2, Radius
GW,1,25,0.00000E+00,5.02000E-01,0.00000E+00,0.00000E+00,-5.02000E-01,0.00000E+00,6.35000E-03
GW,2,25,3.98000E-01,4.85000E-01,0.00000E+00,3.98000E-01,-4.85000E-01,0.00000E+00,1.57500E-02
GW,3,25,5.68000E-01,4.68000E-01,0.00000E+00,5.68000E-01,-4.68700E-01,0.00000E+00,6.35000E-03
GW,4,25,8.16000E-01,4.37000E-01,0.00000E+00,8.16000E-01,-4.37000E-01,0.00000E+00,6.35000E-03
GW,5,25,1.12500E+00,4.47000E-01,0.00000E+00,1.12500E+00,-4.47000E-01,0.00000E+00,6.35000E-03
GW,6,25,1.62700E+00,4.34000E-01,0.00000E+00,1.62700E+00,-4.34000E-01,0.00000E+00,6.35000E-03
GW,7,25,5.17000E-01,0.00000E+00,5.02000E-01,5.17000E-01,0.00000E+00,-5.02000E-01,6.35000E-03
GW,8,25,9.15000E-01,0.00000E+00,-4.85000E-01,9.15000E-01,0.00000E+00,4.85000E-01,1.57500E-02
GW,9,25,1.08500E+00,0.00000E+00,4.68000E-01,1.08500E+00,0.00000E+00,-4.68700E-01,6.35000E-03
GW,10,25,1.33300E+00,0.00000E+00,4.37000E-01,1.33300E+00,0.00000E+00,-4.37000E-01,6.35000E-03
GW,11,25,1.64200E+00,0.00000E+00,4.47000E-01,1.64200E+00,0.00000E+00,-4.47000E-01,6.35000E-03
GW,12,25,2.14400E+00,0.00000E+00,4.34000E-01,2.14400E+00,0.00000E+00,-4.34000E-01,6.35000E-03
